Year,City,Total,Total Occupied,Renter Occupied
2011,Alameda,30335,15388,14947
2011,Alhambra,28816,11493,17323
2011,Anaheim,98586,45616,52970
2011,Antioch,32200,19339,12861
2011,Apple Valley,,,
2011,Arden-Arcade,40255,18123,22132
2011,Bakersfield,108123,60218,47905
2011,Baldwin Park,16680,9832,6848
2011,Bellflower,22358,7949,14409
2011,Berkeley,45338,20746,24592
2011,Buena Park,22487,13528,8959
2011,Burbank,39445,15769,23676
2011,Camarillo,22101,15842,6259
2011,Carlsbad,,,
2011,Carson,24849,19783,5066
2011,Chico,34688,14890,19798
2011,Chino,22161,15986,6175
2011,Chino Hills,,,
2011,Chula Vista,76231,43536,32695
2011,Citrus Heights,31170,16789,14381
2011,Clovis,33627,21847,11780
2011,Compton,22578,12043,10535
2011,Concord,44610,27379,17231
2011,Corona,44239,30289,13950
2011,Costa Mesa,42866,15472,27394
2011,Daly City,30184,17198,12986
2011,Davis,,,
2011,Downey,33642,16866,16776
2011,East Los Angeles,31264,10873,20391
2011,El Cajon,32696,13129,19567
2011,Elk Grove,47641,33382,14259
2011,El Monte,29772,12632,17140
2011,Escondido,44095,21755,22340
2011,Fairfield,32678,18640,14038
2011,Florence-Graham,15066,5651,9415
2011,Folsom,,,
2011,Fontana,48601,33580,15021
2011,Fremont,70649,43267,27382
2011,Fresno,154747,74410,80337
2011,Fullerton,44570,24790,19780
2011,Garden Grove,45615,24254,21361
2011,Glendale,72301,26900,45401
2011,Hawthorne,28562,7443,21119
2011,Hayward,46863,24850,22013
2011,Hemet,32314,19066,13248
2011,Hesperia,26666,17049,9617
2011,Huntington Beach,75686,44096,31590
2011,Indio,23812,15263,8549
2011,Inglewood,37379,13951,23428
2011,Irvine,75284,39015,36269
2011,Lake Forest,26178,18696,7482
2011,Lakewood,26623,17889,8734
2011,Lancaster,47278,27396,19882
2011,Livermore,28674,19473,9201
2011,Long Beach,160059,64535,95524
2011,Los Angeles,1304145,481118,823027
2011,Lynwood,14238,7203,7035
2011,Manteca,21111,12959,8152
2011,Menifee,25603,20014,5589
2011,Merced,24220,10941,13279
2011,Milpitas,19392,12640,6752
2011,Mission Viejo,32012,23504,8508
2011,Modesto,67243,35748,31495
2011,Moreno Valley,50633,32054,18579
2011,Mountain View,31943,13870,18073
2011,Murrieta,,,
2011,Napa,28905,14576,14329
2011,Newport Beach,,,
2011,Norwalk,27266,17086,10180
2011,Oakland,157374,63161,94213
2011,Oceanside,56762,30364,26398
2011,Ontario,46571,25651,20920
2011,Orange,43462,26109,17353
2011,Oxnard,49415,27419,21996
2011,Palmdale,40783,24083,16700
2011,Palo Alto,,,
2011,Pasadena,55045,24830,30215
2011,Perris,16781,11475,5306
2011,Pittsburg,18953,10848,8105
2011,Pleasanton,24333,17411,6922
2011,Pomona,37972,20592,17380
2011,Rancho Cordova,23146,13200,9946
2011,Rancho Cucamonga,,,
2011,Redding,35025,19318,15707
2011,Redlands,24990,14334,10656
2011,Redondo Beach,,,
2011,Redwood City,28320,15716,12604
2011,Rialto,23852,14936,8916
2011,Richmond,36373,18335,18038
2011,Riverside,87476,49739,37737
2011,Roseville,44687,29195,15492
2011,Sacramento,170999,82503,88496
2011,Salinas,41518,18100,23418
2011,San Bernardino,58433,28079,30354
2011,San Buenaventura (Ventura),40401,21544,18857
2011,San Diego,468194,222651,245543
2011,San Francisco,342706,123681,219025
2011,San Jose,305460,172528,132932
2011,San Leandro,30627,17431,13196
2011,San Marcos,26053,14435,11618
2011,San Mateo,38380,19505,18875
2011,San Ramon,,,
2011,Santa Ana,73026,35879,37147
2011,Santa Barbara,33626,13348,20278
2011,Santa Clara,42398,19327,23071
2011,Santa Clarita,57799,38842,18957
2011,Santa Maria,27007,13050,13957
2011,Santa Monica,47181,11632,35549
2011,Santa Rosa,61489,34487,27002
2011,Simi Valley,40668,30666,10002
2011,South Gate,23601,10448,13153
2011,Stockton,89296,45759,43537
2011,Sunnyvale,52734,24807,27927
2011,Temecula,,,
2011,Thousand Oaks,46369,34739,11630
2011,Torrance,54670,29973,24697
2011,Tracy,24494,15767,8727
2011,Turlock,23505,12588,10917
2011,Tustin,24478,13560,10918
2011,Union City,20882,13223,7659
2011,Upland,26977,15826,11151
2011,Vacaville,,,
2011,Vallejo,40152,22589,17563
2011,Victorville,30374,18615,11759
2011,Visalia,42048,24913,17135
2011,Vista,29827,14835,14992
2011,Walnut Creek,,,
2011,West Covina,32136,21301,10835
2011,Westminster,28550,15712,12838
2011,Whittier,26922,14951,11971
2011,Yorba Linda,,,
2011,Yuba City,21943,13366,8577
