GEO_ID,NAME,DP03_0001E,DP03_0018E,DP03_0026E,DP03_0032E,DP03_0046E,DP03_0051E,DP03_0095E
Geography,Geographic Area Name,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,Estimate!!COMMUTING TO WORK!!Workers 16 years and over,Estimate!!OCCUPATION!!Civilian employed population 16 years and over,Estimate!!INDUSTRY!!Civilian employed population 16 years and over,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,Estimate!!INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Total households,Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population
0500000US06001,"Alameda County, California",1368100,812004,885937,885937,885937,585632,1661492
0500000US06007,"Butte County, California",179661,93159,95672,95672,95672,77651,217007
0500000US06013,"Contra Costa County, California",926317,559646,576786,576786,576786,399792,1148991
0500000US06017,"El Dorado County, California",159418,87829,90690,90690,90690,74216,191502
0500000US06019,"Fresno County, California",746456,401105,410423,410423,410423,315974,987054
0500000US06023,"Humboldt County, California",112204,62360,63682,63682,63682,55692,134571
0500000US06025,"Imperial County, California",135259,60464,60600,60600,60600,48182,170646
0500000US06029,"Kern County, California",665025,347891,352979,352979,352979,272888,873613
0500000US06031,"Kings County, California",115124,58917,53749,53749,53749,44761,134342
0500000US06033,"Lake County, California",52193,23407,N,24220,24220,25968,63700
0500000US06037,"Los Angeles County, California",8134683,4931598,5037815,5037815,5037815,3328398,9964081
0500000US06039,"Madera County, California",119190,56914,60238,60238,60238,44387,148260
0500000US06041,"Marin County, California",214016,128119,130860,130860,130860,105298,255134
0500000US06045,"Mendocino County, California",70332,36221,36941,36941,36941,34478,85835
0500000US06047,"Merced County, California",205769,108750,112718,112718,112718,80645,274548
0500000US06053,"Monterey County, California",333729,193364,191694,191694,191694,128227,418564
0500000US06055,"Napa County, California",113425,67719,69450,69450,69450,48107,135962
0500000US06057,"Nevada County, California",84307,43600,45016,45016,45016,39365,98792
0500000US06059,"Orange County, California",2568184,1593750,1621719,1621719,1621719,1044280,3157964
0500000US06061,"Placer County, California",321137,189290,190621,190621,190621,147236,395399
0500000US06065,"Riverside County, California",1927382,1053461,1074894,1074894,1074894,734948,2445952
0500000US06067,"Sacramento County, California",1230991,730635,741741,741741,741741,556752,1537734
0500000US06071,"San Bernardino County, California",1675554,947297,953654,953654,953654,644758,2135343
0500000US06073,"San Diego County, California",2702171,1671791,1624854,1624854,1624854,1132434,3233043
0500000US06075,"San Francisco County, California",774619,526022,539057,539057,539057,365851,877730
0500000US06077,"San Joaquin County, California",581204,315341,326476,326476,326476,230241,748605
0500000US06079,"San Luis Obispo County, California",240018,134126,134530,134530,134530,106512,276603
0500000US06081,"San Mateo County, California",630766,412818,421562,421562,421562,265003,763188
0500000US06083,"Santa Barbara County, California",358847,212698,215213,215213,215213,146466,438160
0500000US06085,"Santa Clara County, California",1556732,995301,1021426,1021426,1021426,643637,1917171
0500000US06087,"Santa Cruz County, California",227867,138027,140781,140781,140781,97710,271955
0500000US06089,"Shasta County, California",145433,75561,77273,77273,77273,72714,178454
0500000US06095,"Solano County, California",359609,215285,215481,215481,215481,150393,434906
0500000US06097,"Sonoma County, California",411096,251132,258846,258846,258846,190689,490339
0500000US06099,"Stanislaus County, California",419828,230975,236924,236924,236924,174698,548012
0500000US06101,"Sutter County, California",74270,40452,40641,40641,40641,33039,95190
0500000US06103,"Tehama County, California",51506,25144,N,25424,25424,25310,64619
0500000US06107,"Tulare County, California",340269,183623,189088,189088,189088,144109,461513
0500000US06111,"Ventura County, California",676757,410451,418904,418904,418904,268524,838846
0500000US06113,"Yolo County, California",179822,100549,102328,102328,102328,76075,218861
0500000US06115,"Yuba County, California",58957,29542,29013,29013,29013,26827,76843
